date,steps
2024-01-01,6234
2024-01-02,8901
2024-01-03,10234
2024-01-04,7456
2024-01-05,12100
2024-01-06,9870
2024-01-07,5432
2024-01-08,8765
2024-01-09,11230
2024-01-10,9100
2024-01-11,7800
2024-01-12,10500
2024-01-13,6700
2024-01-14,8900
2024-01-15,11000
2024-01-16,9500
2024-01-17,8200
2024-01-18,10100
2024-01-19,7600
2024-01-20,9300
2024-01-21,11500
2024-01-22,8400
2024-01-23,10800
2024-01-24,9200
2024-01-25,7100
2024-01-26,10300
2024-01-27,8600
2024-01-28,11200
2024-01-29,9700
2024-01-30,10000
